file,page,title,subject_text,subject_type,relation,object_text,object_type,effect_size,avg_confidence,textBlock,coreference,loc,org,per
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Rejection rates,outcome,experienced_by,enterprises,population,,0.935058,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Rejection rates,outcome,experienced_by,households,population,,0.955618,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Rejection rates,outcome,experienced_by,Banks,population,,0.977256,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Net demand for loans,outcome,experienced_by,enterprises,population,,0.949139,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Net demand for loans,outcome,experienced_by,households,population,,0.969698,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,Net demand for loans,outcome,experienced_by,Banks,population,,0.991337,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,lending,outcome,experienced_by,enterprises,population,,0.925199,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,lending,outcome,experienced_by,households,population,,0.945758,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,lending,outcome,experienced_by,Banks,population,,0.967397,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,access to retail and wholesale funding,outcome,experienced_by,enterprises,population,,0.946715,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,,,,
