file,page,title,subject_text,subject_type,relation,object_text,object_type,effect_size,avg_confidence,textBlock,coreference,loc,org,per,org_alternative,org_alternative_taxonomy,loc_alternative,loc_alternative_taxonomy,subject_text_alternative,subject_text_alternative_taxonomy
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Credit standards,outcome,,0.932382,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Rejection rates,outcome,,0.972335,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Net demand for loans,outcome,,0.960027,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Loans to households for house purchase,outcome,,0.963768,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Consumer credit and other lending to households,outcome,,0.951655,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,access to retail and wholesale funding,outcome,,0.972646,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,capital,outcome,,0.969418,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Perceived credit risks in banks’ loan portfolios,outcome,,0.972004,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,impacts,Bank lending conditions,outcome,,0.969901,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
ecb.blssurvey2023q4~6d56dfebf7.en.pdf,2,The euro area bank lending survey - Fourth quarter of 2023,regulatory and supervisory requirements,intervention,applies_to,Banks,population,,0.97265,Contents 1 Overview of results 3 Box 1 General notes 5 2 Loans to enterprises 6 2.1 Credit standards tightened moderately further 6 2.2 Terms and conditions tightened moderately further 9 2.3 Rejection rates increased 11 2.4 Net demand for loans continued to decrease markedly 12 3 Loans to households for house purchase 15 3.1 Credit standards tightened somewhat further 15 3.2 Terms and conditions eased somewhat 16 3.3 Rejection rates increased 18 3.4 Net demand for loans decreased strongly 19 4 Consumer credit and other lending to households 21 4.1 Credit standards tightened further 21 4.2 Terms and conditions tightened further 22 4.3 Rejection rates increased 24 4.4 Net demand for loans decreased moderately further 24 5 Ad hoc questions 26 5.1 Banks’ access to retail and wholesale funding improved 26 5.2 Banks increased their capital in response to regulatory and supervisory requirements 27 5.3 Perceived credit risks in banks’ loan portfolios had a tightening impact on credit standards 30 5.4 Bank lending conditions tightened further in most economic sectors 33 5.5 Decrease in excess liquidity had a limited impact 36 Annexes 38 2 The euro area bank lending survey - Fourth quarter of 2023 – Overview of results,impact,,,,,,,,,
